,Keyword:0,Keyword:1,Keyword:2,Keyword:3,Keyword:4,Keyword:5,Keyword:6,Keyword:7,Keyword:8,Keyword:9,Keyword:10,Keyword:11,Keyword:12,Keyword:13,Keyword:14,Keyword:15,Keyword:16,Keyword:17,Keyword:18,Keyword:19
127,amersfoort,koningsdag,koninklijke familie,npo ondertiteling,heel,amersfoort vandaag,koning,mensen,koninklijke,muziek,mozambique,dag,familie,vandaag,viel,china,zonnig amersfoort,politie,kenneth,ondertiteling
128,nederland zingt dag,wijn,heel,nederland zingt,heel moeilijk,leven,nee,dag,nou,zingt dag,nederland,jaar,weet,echt,zingt dag zit,iedere dag,zeg,moeilijk,kinderen,gaan
129,mooi mooi mooi,mooi mooi,mooi,amersfoort,heel,koning,vandaag,gaan,heel leuk,laten zien,heel mooi,laten,zien,dank,echt heel,dag,maria fiselier,heel holland,foto,goed
130,koninginnedag,wilhelmina,koningin,juliana,jaar,beatrix,papoea koninginnedag,nederland,heel,koningin juliana,wilhelmina zit,koninginnedag zien,koningin wilhelmina,feest,zien,dochter juliana,mensen,nederlandse,nederlanders,dag
131,amersfoort,spanje,muziek,koningsdag,mensen,heel,nieuwe,koninklijk huis kysia,vox,koninklijk huis,amersfoort vandaag,gaat,vandaag,nederland,nieuwe zijderoute,verslaggever koninklijk huis,koning,zien,buien,china
132,amersfoort,heel,nee,koning,koningsdag,heel goed,amalia,muziek,goed,dag,jaar,heel koningsdag,leuk,prins,vandaag,amersfoort koningsdagconcert,stad amersfoort,stad,blijven wachten,koningin maxima
133,beer,nee,nou,roger,arnold,nee joh jos,zeg,ach nee joh,nee joh,anja,deur,deur dicht,weet,heel,zit,dacht,hond,twee,doe,niks
134,jalalalalalala jalalalalalala,zing,jalalalalalala,laat,lalalala lala lala,jalalalalalala lala,lalalala lalalala lalalalala,lala lala lala,applaus en gejuich,lalalala lalalalala lala,lala,weet,lala lala,lalalalalala lala lala,tijd,dag,verslaggever tanja braun,lalalala,amsterdam,lala jalalalala lala
135,publiek lacht,publiek,lacht,publiek lacht geloof,immanuel kant,nee,napoleon,nou,oke,kant,gaan,mensen,eigenlijk,echt,ljoebov,john ewbank,denk,elkaar,nederlands,immanuel
136,niek kimmann,ergo tom dumoulin,goed,nou,dominic thiem,dumoulin,kimmann,tom dumoulin,smulders,oldebroek,gaat,poel,wedstrijd,niek,koningsdag,thiem,nadal,tokio,finale,gaan
137,amersfoort,heel,koning,vandaag,laten zien,gaan,heel leuk,laten,zien,dank,maria fiselier,mooi,echt heel,heel holland,foto,dag,muziek,koningsdag,anna,drie
138,mooi mooi mooi,mooi mooi,mooi,heel,amalia,jaar,nederland,heel mooi,dorine hermans,amersfoort,prinses amalia,koningsdag,vandaag,willem-alexander,gaat,koningin,oranje,goed,hermans,heel nederland
139,sri lanka,heel sri lanka,sri,lanka,correspondent aletta andre,aanslagen,sri lankaanse autoriteiten,nieuwe aanslagen,president,sri lankaanse,heel sri,aletta andre,correspondent aletta,minister,twee,mensen,new delhi,politie,morgen,volgens
140,duncan laurence staat,nou duncan,duncan laurence,duncan,tel aviv,wagen op koningsdag,nederlandse bijdrage,songfestival begint,laurence staat,npo ondertiteling,live ondertiteld,nou,nederland,programma werd live,nee,aviv,koningsdag,songfestival,tel,nederlandse
141,sri lanka,minister,aanslagen,sri,heel sri lanka,jaar,president,lanka,mensen,heel,twee,minister grapperhaus,noordpool,regering,nederland,koningsdag,correspondent aletta andre,premier,terug,minister bruins
142,henk,henk otten,goeie vraag,heel,thierry,dion,goed,komt henk otten,nee,mensen,dion graus,man,echt,kamer,vraag,tweede kamer,allemaal dions,eigenlijk,gelach,weet
143,oke,heel,kom,denk,mensen,goed,iedereen,yes,dank,gaan,echt,school,mooi,jandino,weet,gaat,heel mooi,saxa,jay,leven
144,echt,heel,leven,here jezus,god,bart,mee,god ging,weet,jezus,jaar,god ging mee,gaat,begin,gaan,begin maart,dag,nou,zoon,arm
145,jezus,jezus christus,heel,jezus echt,verhaal,passiespelen,gaan,kruis,jezus echt meegemaakt,jezus komen,jezus hoorde,jezus geconfronteerd,hertme,jezus spelen,sta,gaat,weet,moment,staan,komt jezus
146,meneer,alfred birney,niemand bleef,nou,russische piano,dagboek,vpro boeken,wolf wondratschek,schrijver,niemand,russische,birney,boek,roman,schrijven,alfred,zit,schreef,mensen,tolk van java
147,mensen,sri lanka,politie,san diego,otten,npo ondertiteling,ondertiteling,kamer,aanslag,lanka,gaan,sri,viel,aanslagen,synagoge,positie,dagen,forum,vandaag,diego
148,marianne vaatstra,azc,vaatstra,bewoners,mensen,bauke vaatstra,marianne,heel,centrum,heel erg,asielzoekers,zaak,willen,bewoner,gaan,erg,angst,meneer vaatstra,denk,familie vaatstra
149,iran,leven,perzische iran,grote,arabisch,arabieren,stam,nou,vijf,khamseh-stam,wonen,grote stam,wonen arabieren,arabieren wonen,mensen,kleine,perzen,spreken arabisch,kijk,stammen
150,zutphen,joodse,heel,goed,joodse gemeente,nou,nederland,joden,israel,jaar,vader,kwam,nee,heel goed,ging,oorlog,zutphen kwam,nederlands joodse,nederlands joodse volk,joodse geschiedenis zutphen
151,graag,versier,mooi,npo ondertiteling,versier graag,heel mooi,winkel,hoekjes,artikelen,leuk,idee,mooie,heel,vind,sieraden,pakjes graag,klanten graag,npo,ondertiteling,harmonicamuziek
152,heel,ganesha,gaan,nee,zit,weet,boer,angst,drie,eigenlijk,mensen,leven,mee,twee,koeien,jaar,liefde,nou,staat,stef
153,san diego,deen jakob fuglsang,mensen,annemiek van vleuten,vleuten,npo ondertiteling,sri lanka,politie,sri lankanen,synagoge,aanslag,amsterdam,sri,spanje,san,diego,ondertiteling,otten,sri lankanen zit,positie
154,brinkman,bloemendaal,thierry brinkman,robert gesink,arsenal,bovendeert,amsterdam,goed,thierry brinkman stond,handje thierry brinkman,barcelona,bal,gaat,robert gesink viel,wijkerslooth,gesink,brinkman stond,brinkman staat heel,brinkman staat,dauphine of zwitserland
155,nos,journalistiek,mensen,heel,nieuws,vind,goed,mee,facebook,media,natuurlijk,denk,mees vos,geenstijl,beetje,journalistiek medium,publieke,mees,verantwoordelijkheid,zeggen
156,nos,mensen,heel,vind,nieuws,journalistiek,natuurlijk,mee,facebook,beetje,media,goed,mees vos,verantwoordelijkheid,jaar,denk,publieke,mees,maken,staatskapelle weimar
157,max verstappen,max verstappen zit,max verstappen naast,san diego,max,verstappen,red bull,sri lankanen zit,vierde,deen jakob fuglsang,verstappen zit,sri lanka,sri lankanen,annemiek van vleuten,prix van azerbeidzjan,plaats,sri,vleuten,azerbeidzjan,bull
158,baba ganoush,heel,baba,echt,ganoush,baba ganoush maken,mooi,kijk,goed,beetje,maken,heel mooi,huis,namelijk baba ganoush,gemaakt,fantastische baba ganoush,alain,aubergine,zoete aardappel,zit
159,buitenlandse zaken,ontvoerd,zaken,buitenlandse,programma ontvoerd,staat buitenlandse zaken,kinderen,buitenlandse zaken zegt,buitenlandse zaken zeggen,buitenlandse zaken wist,suriname,kind,vader,programma,nou,nederland,europees,moeder,openbaar ministerie,ministerie
160,max verstappen,jason walters,jaar,spanje,jason,mensen,vox,gaat,npo ondertiteling,schulden,verstappen,nederlandse,heuvel,komen,jack,sieg heil,kinderen,gaan,npo,politie
161,mensen,stella,wettelijke,schulden,gemeente,zeggen,wettelijke sanering,zit,schuldeisers,huis,jaar,helpen,tekst wordt voorgelezen,gaat,aantal,heel,gerville,aantal mensen,soms,traject
162,pieter van vollenhoven,vollenhoven,nou,koninklijk huis,eigenlijk,denk,huis,koninklijk,prinses margriet,margriet,pieter,zeggen,goed,weet,heel,leven,tien jaar,meneer van vollenhoven,slachtofferhulp,slachtofferhulp nederland
163,god,nou,heel,mensen,god nou,amsterdam,geloof,leven,echt,nee,god geloof,heel erg,god echt,god overstijgt,dominee,mensen heel goed,heel goed,kerk,vind,gaat
164,friesland,npo ondertiteling,weet,opstoot links,dankbaarheid,kom,henk,dankjewel,calvijn,beetje,samsom,willi samsom,gaat,soms,opstoot,zeg,sneek,heel,friesland laten,gegaan
165,friesland,weet,opstoot links,kom,henk,willi samsom,samsom,zeg,soms,opstoot,sneek,heel,friesland laten,mirjam weet,gegaan,drenthe,laat,friesland gegaan,giethoorn,soms luistert
166,mensen,schiphol,heel,goed,zeggen,laten,gaat,sociale media,nodig,mensen elkaar,mensen laten praten,groei,elkaar,media,mensen laten,zegt,helemaal,twee mensen,goede,dingen
167,leefomgeving,raad,groei,luchtvaart,laten,gematigde groei,zeggen,hoeveel groei,zitten,perspectieven,bewoners,gematigde,luchtvaart verduurzamen,luchtvaart behandelen,bewoners zeggen,hoeven,hoeveel,nederland,stel de milieu,verbeteren
168,correspondent rop zoutberg,psoe,spanje,komen,correspondent rop,rop zoutberg,psoe stond,winnende psoe,vox,zetels,sociaal-democraten in spanje,gebeuren,betekent,partijen,baskische nationalistische partijen,baskische nationalistische,goeienavond,liveprogramma,achterlopen,ondertiteling
169,sri lanka,biomassa,mensen,heel,jaar,npo ondertiteling,onderwijs,bomen,nieuwe,noorden,echt,oosten,deen jakob fuglsang,vandaag,nieuws,lanka,sri,live ondertiteld,programma werd live,nederlanders
170,max verstappen,mensen,gaat,max,max emden,heel,jaar,openbaar ministerie,spanje,verstappen,npo ondertiteling,columniste margriet brandsma,twee,ian buruma,jaren,week,goed,elkaar,duitsland,schiphol dick benschop
171,schiphol,schiphol dick benschop,mensen,gaat,heel,columniste margriet brandsma,max emden,goed,duitsland,afspraken,openbaar ministerie,groei,jaar,laten,zegt,schiphol dick,laten zien,ian buruma,documentaire,maken
172,mensen,schiphol,heel,gaat,laten,max emden,goed,afspraken,laten zien,groei,maken,duitsland,mensen laten praten,zegt,jaar,zien,zeggen,elkaar,aantal,jaren
173,goed,heel goed,nel,koningin julianabrug,heel,curacao,heel goed hoor,nou nel,nou,julianabrug,goedemorgen nel,koningin,sla,goed hoor,gaan,brug,nee,trommel,meter,tamboer
174,dijk,nederland,biomassa,peter van dijk,vivianne miedema,engeland,heel nederland,heel,partido popular kreeg,nrc handelsblad,statenlid in zeeland,zeeland,nrc,maanden,komen,drie maanden,komt,partido popular,britse,nederlandse
175,dijk,vivianne miedema,nederland,peter van dijk,biomassa,virgil van dijk,heel nederland,partido popular kreeg,heel,nrc handelsblad,statenlid in zeeland,zeeland,nrc,maanden,engeland,vivianne,miedema,nederlandse,britse,drie maanden
176,goedemorgen nederland,nederland,dijk,heel nederland,zorgverzekeraars nederland,nederlands forensisch,goedemorgen,vivianne miedema,twee nederlanders,zorgverzekeraars nederland juicht,engeland,biomassa,jaar,nederlandse,nederland uitspreidt,nederland juicht,komt,heel,peter van dijk,virgil van dijk
177,goedemorgen nederland,nederland,goedemorgen,cda lotte schipper,geert wilders,jongeren,mediadeskundige mark koster,lotte schipper,mark koster,cda lotte,auto,blijkt,jaar,elektrische auto,nederlandse,dijk,zeeland,nrc,elektrische,peter van dijk
178,peter van dijk,goedemorgen nederland,nederland,nrc handelsblad,jongeren,partido popular kreeg,dijk,nederlandse,partido popular,statenlid in zeeland,jaar,sanchez,nrc,npo ondertiteling,blijkt,nederland bevrijd,jongeren vinden,auto,zeeland,sanchez overwinning
179,jongeren,goedemorgen nederland,partido popular kreeg,npo ondertiteling,sanchez,npo,partido popular,nederland,goedemorgen,blijkt,sanchez overwinning,premier sanchez,nationaal comite,belangrijk,jongeren vinden,popular kreeg,zittende premier sanchez,jongeren waarderen,kreeg,stemmen
180,nederland,peter van dijk,dijk,nrc handelsblad,jongeren,jaar,nederlandse,nederland bevrijd,auto,partido popular kreeg,nrc,blijkt,zeeland,statenlid in zeeland,elektrische auto,goedemorgen nederland,sanchez,nederlandse grens,partido popular,twee
181,nederland,dijk,peter van dijk,jongeren,twee nederlanders,jaar,nederlandse,twee,engeland,nrc handelsblad,vivianne miedema,twee nederlanders verkozen,nederlands forensisch,goedermorgen nederland,zorgverzekeraars nederland,komt,blijkt,onderzoek,willen,biomassa
182,jongeren,goedemorgen nederland.,blijkt,nrc handelsblad,peter van dijk,nederland,nederlandse,goedemorgen,auto,sanchez,jaar,elektrische auto,partido popular kreeg,belangrijk,jongeren vinden,partido popular,dijk,nrc,zeeland,elektrische
183,jongeren,blijkt,jaar,elektrische auto,auto,nederland,nederlandse,nrc handelsblad,nrc,belangrijk,sanchez,peter van dijk,elektrische,jongeren vinden,partido popular kreeg,nationaal comite,dijk,zeeland,partido popular,jongeren waarderen
184,jaar,amalia,vorig jaar,mensen,gaat,goed,vond,heel,europa,gaan,vandaag,nederland,mooi,domtoren,komt,vorig,oranje,komen,leuk,moeder
185,jongeren,goedemorgen nederland.,partido popular kreeg,sanchez,blijkt,auto,jaar,goedemorgen,npoi nu goedemorgen,partido popular,nationaal comite,belangrijk,jongeren vinden,sanchez overwinning,nederland,jongeren waarderen,premier sanchez,elektrische,dijk,nederlandse
186,jongeren,blijkt,auto,peter van dijk,nrc handelsblad,statenlid in zeeland,jaar,elektrische auto,goedemorgen nederland.,nederlandse,dijk,zeeland,nrc,partido popular kreeg,nationaal comite,elektrische,partido popular,nederland,sanchez,goedemorgen
187,heel,mensen,jongeren,nederland,nederlandse,dijk,huis,heel nederland,willen,ging,komt,pascha,nou,onderduikers,grote,jaar,npo ondertiteling,winterswijk,varsseveld,engeland
188,nederland,jongeren,nederlandse,dijk,twee,engeland,jaar,zorgverzekeraars nederland,nederlands forensisch,jongeren vinden,komt,biomassa,vivianne miedema,heel nederland,onderzoek,zorgverzekeraars nederland juicht,vinden,tenen,willen,twee nederlandse
189,mensen,heel,vader,nou,onderduikers,huis,kwam,winterswijk,grote,ebbers,pascha,ging,helpen,npo ondertiteling,vivianne miedema,willen,varsseveld,lichtenvoorde,familie,goed
190,laatste twee keer,vier keer,laatste twee,diep,twee keer,laatste vier keer,vier keer veren,vier,laatste,keer,laatste vier,twee,been,voren,laatste keer,doe maar mee,doe,achterste,achterste been,laatste vier maal
191,nederland,dijk,jongeren,nederlands forensisch,vivianne miedema,virgil van dijk,goedemorgen,nederlandse,biomassa,jaar,heel nederland,onderzoek,twee,leger des heils,komt,twee nederlanders,engeland,zorgverzekeraars nederland,mensen,nederlandse kunstenaar lucas
192,heel goed,goed,gaan,heel,nou,nee,fout,inderdaad,nummer,inderdaad goed,zien,fout inderdaad,hoor,stap,japan,max,hartstikke goed,oke,edelman,antwoord
193,nederland,otten,biomassa,nederlandse,dijk,jongeren,jaar,vinden,engeland,heel nederland,belangrijk,vivianne miedema,jongeren vinden,rivm,mensen,onderzoek,heel,peter van dijk,auto,verkiezingen in spanje
194,nederland,otten,jaar,heel,nederlandse,dijk,jongeren vinden,forum voor democratie,vinden,jongeren,heel nederland,biomassa,kamer,jongeren vinden dodenherdenking,zorgverzekeraars nederland,vivianne miedema,democratie,forum,henk otten,auto
195,mensen,jaar,heel,lintje,programma,applaus,gaan,leden,links,nederland,gaat,pauw,orde van oranje-nassau,rechts,orde,vorig jaar,publieke omroep,meneer vos,vind,mensen per jaar
196,henk otten,forum voor democratie,zet henk otten,otten,nos journaal,dijk,jongeren,kamer,domtoren,nos,jongeren vinden,vinden,jaar,tweede kamerfractie,twee,willen,forum,democratie,henk,nederland
197,heel,keetje hodshon,huis,keetje,goed,heel goed,steenrijke keetje hodshon,ajax,drie,tottenham,gaan,peter,beetje,henk otten,champions league,otten,kamer,hodshon huis,gaat,mooi
198,dijk,henk otten,nederlandse,nos journaal,domtoren,forum voor democratie,otten,champions league,volgende nos journaal,mensen,nederlandse grens,zet henk otten,duizenden mensen,lucas van leyden,jaar,vivianne miedema,tweede kamer,kamer,sanchez,nederland
199,heel,keetje hodshon,huis,keetje,goed,heel goed,steenrijke keetje hodshon,ajax,champions league,drie,tottenham,gaat heel goed,gaan,peter,beetje,henk otten,allemaal,otten,kamer,hodshon huis
200,keetje hodshon,steenrijke keetje hodshon,keetje,huis,goed,hodshon huis,peter,heel goed,heel,hodshon,haarlemse hodshon huis,drie,mooi,kijk,steenrijke keetje,beetje,kamer,prachtige hodshon huis,gaan,achttiende eeuw
201,leo degens,ajax,leo,nac,spelers,degens,speelde leo degens,vivianne miedema,maken,club,leo degens stopte,bevond leo degens,elftal,heel,gaat,psv,leo ehlen,nee,weet,gezien
202,otten,jaar,henk otten,gaat,zit,mensen,lekker,jongeren,mozambique,water,zwembad,vorige,heel,orkaan,kook,kwam otten,eigenlijk,kook mee,week kwam otten,vorige week
203,wijn,lekker,heel,vin,coq,coq au vin,beetje,heel erg,mooi,gerecht,heel mooi,stoofgerecht,heel lekker,frans,gaat,eigenlijk,echt,heel erg lekker,goed,natuurlijk
204,wijn,lekker,heel,vin,otten,coq,coq au vin,mooi,heel erg,beetje,heel mooi,echt,gerecht,eigenlijk,heel lekker,stoofgerecht,henk otten,gaat,jongeren,heel erg lekker
205,kamp westerbork,team ellie,otten,team donnie,jaar,ellie lust,team,koningsdag,ellie,gaat,twee,pauw koningsquiz,politie,westerbork,kamp,zwembad,jan slagter,jan,uur,martijn koning
206,nee,team donnie,koning,donnie,laten,heel,rowwen heze,vraag,gelach,team,beetje,ellie,carmina burana,carl orff,eigenlijk,weet,zeggen,team ellie,twee,jan
207,koninklijk huis,vraag,team donnie,foto,nee,team ellie,koninklijk,ellie,gelach,huis,donnie,goed,eigenlijk,heel,barry hayze,gaan,beetje,komt,team,maxima
208,heel,nee,witteveen,eigenlijk,johan witteveen,mensen,nou,jong,meneer witteveen,goed,allemaal,beetje,ziet,heel goed,komt,johan witteveen oogt,mee,vind,koning,gaan
209,amersfoort,nee,koningsdag,blijven wachten,heel,prins maurits,prins,amalia,groothertog jean,wachten,tijd,prins william,goed,prins maurits stond,heel goed,jean,koning,blijven,heel koningsdag,soms
210,tijd voor max,npo ondertiteling,otten,henk otten,kamp westerbork,max,tijd,ondertiteling,wilders,kamerata string orchestra,informatie,otten blijft,politie,npo,heer otten blijft,janny,heijden,jaar,straks in tijd,kamer
211,heel,tineke trofee,cindy,vrouwen,tineke,verhaal,miranda,miranda heijdra,tineke trofee gekregen,jaar,goed,eigenlijk heel kwetsbaar,zitten,kamerata zuid,gaat,eigenlijk heel,geld,maak,graag,alexandra
212,meneer de vries,mevrouw kappert,vries,mevrouw kappert gaat,kappert,meneer,one kiss,mevrouw heuvelink zit,mevrouw,mevrouw heuvelink,vries zit,goed,mevrouw kappert zit,kijk,gaat,mee,heuvelink,vries gaat,one,vries komt
213,henk otten,jaar,otten,willen,medewerkers,gaat,baudet,water,prodemos,nos,kamer,onderzoek,abn amro,zwembad,thierry baudet,mensen,npo,maken,zes,zes medewerkers
214,kook mee,kook,mee met max,max,mee,kippendijenfilet,coq au vin,max maken,vin,welkom bij kook,spekjes,coq,allemaal,maken,stap,vandaag staat,welkom,vandaag,franse,kook je mee
215,nederland,vereniging aanpak tellerfraude,insecten,gaat,school,auto,duitsland,heel,nederlandse,nieuwe,vereniging aanpak,ijshockey,aanpak tellerfraude,joep,pieter zeemanschool,autojournalist carlo brandtsen,tellerfraude,jaar,soort,dak
216,nederland,vereniging aanpak tellerfraude,insecten,gaat,school,auto,duitsland,heel,nederlandse,nieuwe,vereniging aanpak,ijshockey,aanpak tellerfraude,joep,pieter zeemanschool,autojournalist carlo brandtsen,tellerfraude,jaar,soort,dak
217,titus,heel,adelheid,jaar,mensen,adelheid roosen,lineke rijxman,lineke,the,kwam,theatermaker adelheid roosen,actrices adelheid roosen,actrices lineke rijxman,ging,zeggen,astrid,koninginnedag,gaat,dag,maken
218,titus,heel,adelheid,mensen,adelheid roosen,jaar,lineke rijxman,lineke,the,kwam,theatermaker adelheid roosen,actrices adelheid roosen,actrices lineke rijxman,ging,dag,zeggen,gaat,senna,formule,maken
219,johannes post,vader,jan wildschut,anne de vries,nee,moeder,johannes,denk,nou,god,heel,verzetsheld johannes post,post,wildschut,jan,weet,anne,vries,volgens,vader nou
220,jeffrey,john en sandy,diana,moeder,martina,john,sandy,echt,jaar,vader,broer jeffrey,eigenlijk,ronald,heel,duitsland,suriname,spoorloos diana vader,broer,martina en doris,doris
221,heel,groningen,tom,tom olsen,jason walters,nederland,jason,jezidi,zwolle,ajax,mensen,belandt tom olsen,pec zwolle,pec,hotel mumbai,echt heel erg,echt heel,jason walters zien,werkt jason walters,goed
222,jaar,mensen,echt,gaat,zien,nee,zag,new york,koningsdag,meteen,moment,gaan,heel,jandino asporaat,witte stof,dank,maken,weet,roken,denk
223,mensen,jaar,gaat,auto,moment,zien,gaan,new york,mensen staan,echt,roken,weet,nederland,staan,mee,nee,zag,rico,per dag,ging
224,mensen,jaar,gaat,auto,moment,gaan,zien,new york,mensen staan,mee,weet,nederland,echt,roken,school,nee,zag,rico,staan,kijken
225,jaap blonk,podium witteman,gaan,muziek,vreemde klanken,jaap,heel,spelen,radio,jaar,beethoven,ricciotti,mike,elkaar,woppert,rosanne,heel goed,nederlandse,paul,dank
226,otten,heel,henk otten,ajax,paul cliteur,groningen,baudet,mensen,goed,jezidi,forum,nederland,tom,frans timmermans,cliteur,europese,jason walters,gaat,forum baudet,thierry baudet
227,sri lanka,slachtoffers,prodemos,nos,willen,loya jirga,medewerkers,jaar,leidinggevende,sri,lanka,taliban,land,zeggen,zaak,huis,loya,jirga,aanslagen,rokers
228,europese,europese commissie,stem,mensen,patienten,ziekenhuis,jaar,europese verkiezingen,europese unie,academisch ziekenhuis,zorg,willen,frans timmermans,debat,staat,maasziekenhuis,nederland,academisch,radboud academisch huis,water
229,nederland,jezidi,ajax,paul cliteur,groningen,cliteur,irak,champions league,tottenham hotspur,pec zwolle,pec,heel,tom,tom olsen,baudet,noor tom olsen,thierry baudet,jason walters,europese,noor tom
230,laatste twee keer,vier keer,vier,diep,laatste twee,laatste,twee keer,vier keer veren,keer,been,twee,laatste vier keer,laatste vier,laatste keer,voren,doe maar mee,achterste,doe,acht keer,acht
231,heel goed,goed,gaan,heel,nou,inderdaad,nummer,fout,inderdaad goed,nee,max geheugentrainer,edelman,max,zien,fout inderdaad,leger des heils,stap,dank,hoor,leuk
232,justitie rod rosenstein,rosenstein,rod rosenstein,europese commissie,tottenham hotspur,jongeren,rosenstein stelde,mensen,tottenham,ajax,commissie,frans timmermans,europese,bas eickhout,trump,nederland,champions league,rosenstein hield,manfred weber,debat
233,champions league,npo ondertiteling,ajax,goedemorgen nederland,nederland,zwolle,mensen,gaat,elco brinkman,ondertiteling,openbaar ministerie gaat,openbaar ministerie,japanse keizer akihito,pec zwolle,zwolle gaat,league,champions,japanse,groningen,jongeren
234,champions league,zwolle,ajax,pec zwolle,openbaar ministerie gaat,gaat,zwolle gaat,groningen,openbaar ministerie,league,champions,europese,europese commissie,belgische koning,laten,rosenstein,nikki herr mooie,ajax wint,overwinning,mooie dag
235,japanse keizer akihito,japanse,rosenstein,mensen,jongeren,rod rosenstein,japanse keizer,akihito,vrijwilligers,trump,keizer,keizer akihito,jeugdzorg,onderzoek,nederland,robert mueller,japanse tempel,japanse wet,houden,troon
236,japanse keizer akihito,japanse,rosenstein,mensen,jongeren,rod rosenstein,japanse keizer,champions league,vrijwilligers,akihito,trump,keizer,ajax,winnen,keizer akihito,jeugdzorg,gaat,onderzoek,zin,nederland
237,champions league,japanse keizer akihito,ajax,champions,jongeren,league,japanse,mensen,nederland,jeugdzorg,winnen,japanse keizer,ajax wint,gaat,keizer,vrijwilligers,akihito,keizer akihito,tottenham,nederland krijgen
238,japanse keizer akihito,rosenstein,ajax,jongeren,champions league,japanse,mensen,tottenham hotspur,tottenham,onderzoek,champions,league,nederland,jeugdzorg,rosenstein stelde,japanse keizer,dag,keizer,vrijwilligers,jeffrey rosen
239,champions league,champions,league,rosenstein,rod rosenstein,ajax,npo ondertiteling,tottenham hotspur,rosenstein stelde,ajax wint,trump,tottenham,winnen,onderzoek,dag,gaat,japanse,league tegen tottenham,mooie dag,jeffrey rosen
240,champions league,ajax,champions,league,npo ondertiteling,ajax wint,winnen,japanse keizer akihito,japanse,mooie dag,wint de champions,tottenham,overwinning,rosenstein,gaat,dag,jongeren,npo,ondertiteling,wint
241,champions league,ajax,zwolle,europese commissie,gaat,mensen,pec zwolle,nederland,jongeren,zwolle gaat,rosenstein,europese,groningen,league,champions,openbaar ministerie,japanse,jeugdzorg,jaar,belgische koning
242,champions league,ajax,zwolle,gaat,mensen,europese commissie,pec zwolle,zwolle gaat,nederland,jongeren,groningen,league,openbaar ministerie,champions,rosenstein,europese,japanse,jeugdzorg,jaar,ajax wint
243,japanse keizer akihito,mensen,japanse,jongeren,nederland,japanse keizer,max,akihito,keizer,npo ondertiteling,keizer akihito,goedemorgen nederland,werken,vrijwilligers,jeugdzorg,nederland krijgen,keizerlijk paleis,japanse wet,bloed,max gebrekkig
244,mensen,japanse keizer akihito,japanse,daarnaast werken,vrijwilligers,gemeenten,zeggen,werken,nederland,jongeren,limburg-zuid,daarnaast,max,akihito,zien,japanse keizer,korpsen,tijd,moeilijk,keizer
245,champions league,ajax,zwolle,ajax wint,mensen,league,champions,pec zwolle,gaat,rosenstein,jongeren,groningen,wint de champions,belgische koning,wedstrijd,nederland,zien,jaar,zwolle gaat,jeugdzorg
246,hee,hee hee,anthony,goed,pegasus,bergsche maas,heusden,stap,antwoord,maas,weet anthony,weet,meter,gaat,kijk,bakker,vandaag,bergsche,word wakker,zee
247,vader,moeder,denk,johannes post,heel,thea,nee,mensen,weet,anne de vries,vrouw,johannes,gaan,mee,nou,eigenlijk,echt,post,heel nederland eigenlijk,jan wildschut
248,champions league,ajax,mensen,ajax wint,league,champions,christchurch,japanse,japanse keizer akihito,rosenstein,max,npo ondertiteling,helft,jongeren,tijd,ajax leeft,frans timmermans,bas eickhout,jeugdzorg,ondertiteling
249,heel,leuk,jaar,goed,vrouwen,verhaal,vind,cindy,amira,vond,geld,kwam,heel leuk,born free,nee,heel erg leuk,born free generatie,gaat,alexandra,heel goed
250,champions league,ajax,japanse keizer akihito,jongeren,akihito,mensen,league,champions,jeugdzorg,ajax wint,zien,keizer,rosenstein,japanse,camera,keizer akihito,werken,japanse keizer,rod rosenstein,gaat
251,champions league,ajax,league,champions,mensen,ajax wint,japanse keizer akihito,akihito,jongeren,zien,wint de champions,keizer,jeugdzorg,japanse,werken,graden,gaat,rosenstein,ajax leeft,nijmegen
252,champions league,ajax,mensen,jongeren,league,champions,gaat,smartphone,ajax wint,akihito,japanse keizer akihito,zien,dagen,dag,gaan,wint de champions,keizer,jeugdzorg,japanse,werken
253,smartphone,telefoon,mensen,denk,jongeren,gaat,heel,zit,gaan,aandacht,echt,mee,tijd,goed,zien,weet,bezig,nee,detox,telefoon zit
254,smartphone,telefoon,tijd,denk,jongeren,echt,aandacht,mensen,heel,mee,gaat,gaan,zit,goed,zien,bezig,weet,kijken,nodig,maken
255,mevrouw,heel,sabino bouw,euro,komt,kozijnen,slotenmaker,geld,mensen,max ombudsman,mevrouw van weeghel,mee,weeghel,bouw,meneer,politiekeurmerk veilig wonen,gaan,maken,gaat,slot
256,lekker,huis,echt,gaat,boomgaard,luuk,zierikzee,amsterdam,zierikzee wonen luuk,zitten,vis,doe,kijk,allemaal,komen,smaak,zit,gaan,zalm,yolande
257,tottenham hotspur,tottenham,champions league,groningen,ajax,japanse keizer akihito,gaat,hotspur,russische,louis van gaal,champions,league,russische marine,militaire,china,japanse,akihito,ajax heel goed,zwolle,raad van state
258,meneer kamal,abn amro,meneer kamal woont,heel,gaan,mitros,leven-keurmerk,abn,rico,kamal,mensen,kamal komt mitros,meneer,eigenlijk,gaat,toezicht,ster,jaar,melk,meneer kamal komt
259,groningen,tottenham,padt,ajax,real madrid,bal,zwolle,tottenham hotspur,graden,barcelona,kwam groningen,real,madrid,ajax heel goed,gaat,wedstrijd,goed,tottenham winnen,ajax heel,louis van gaal
