,Keyword:0,Keyword:1,Keyword:2,Keyword:3,Keyword:4,Keyword:5,Keyword:6,Keyword:7,Keyword:8,Keyword:9,Keyword:10,Keyword:11,Keyword:12,Keyword:13,Keyword:14,Keyword:15,Keyword:16,Keyword:17,Keyword:18,Keyword:19
27,schiphol,kim jong-un,tweede kamer,leider kim jong-un,kim,nachtvluchten,fortuna sittard,amerikaanse,poetin,nac,poetin ontmoet kim,twee,miljoen euro,amerikaanse president trump,king,miljoen,facebook,ontmoet kim jong-un,politie,tweede
28,goedemorgen nederland,europa,amerikadeskundige willem post,meneer jetten,gaat,goedemorgen,geld,nederland,rob jetten,jetten,trump,willem post,johan,jaar,kim,amerikadeskundige willem,europa gaat,europese unie,donald trump,komt
29,ziekte,kinderen,fortnite,malaria,vandaag,johan cruyff arena,gaan,johan,wereld malaria dag,mee,kun,mensen,johan cruyff,jaar,malaria dag,groningen,wereld malaria,uur,miljoenen,naam johan
30,schiphol,tweede kamer,nac,nachtvluchten,king,feyenoord,amerikaanse,nac breda,twee,miljoen euro,miljoen,kim,politie,facebook,nederlandse,john king,amerikaanse president trump,amerikaanse staat texas,auto,betalen
31,laatste keer,laatste,keer,knie,terug,vier keer,tik,handen,vier,stappen,ellebogen,laatste vier keer,hak,laatste twee keer,laatste acht keer,kom,zijstap,acht keer,hou,goed
32,schiphol,goedemorgen,nachtvluchten,nac,kim,leider kim jong-un,fortuna sittard,amerikaanse president trump,feyenoord,auto,tweede kamer,amerikaanse,doe,twee,poetin,politie,kim jong-un,keer,president trump,probeer een keer
33,goed,heel goed,peter salm,gaan,heel,stap,jeannette,nou,peter,salm,max geheugentrainer,netjes,rotterdamse haven,kijk,hovermarines,max,inderdaad,rotterdamse,mee,nee
34,cbr,oekraine,ouderen,gaat,zegt,mensen,cbr zegt,joodse,beetje,discussie,joodse ouderen,ouderen oekraine,heel oekraine,kant,kinderen,maken,eigenlijk,gaan,npo ondertiteling,komen
35,schiphol,amerikaanse,tweede kamer,sri lanka,kim jong-un,nachtvluchten,kim,jaar,mensen,leider kim jong-un,miljoen,facebook,king,nachts,miljoen euro,poetin,amerikaanse president trump,politie,maken,twee
36,heel,gaat,jan mulder,boek,leven,jan,hersenen,informatie,jan mulder gaat,zit,heel fijn,mensen,jaap seidell,gaan,vinden,goed,maken,vind,tafel jan mulder,niks
