Method,ap_mean,ap_std,ap_min,ap_max,ap_median,f1_mean,f1_std,f1_min,f1_max,f1_median
graphmodel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
graphmodel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
graphmodel,0.0022320140177283032,0.015620764657948826,0.0,0.16666666666666666,0.0,0.006596393450812251,0.03754965295757508,0.0,0.37499999999999994,0.0
graphmodel,0.15691774099809563,0.163843233399787,0.0,0.7058823529411764,0.11111111111111112,0.15691774099809563,0.163843233399787,0.0,0.7058823529411764,0.11111111111111112
bm25,0.03378717426123889,0.056561252264857045,0.0,0.2857142857142857,0.010555555555555556,0.07100229092986722,0.08076725973974837,0.0,0.4000000000000001,0.10000000000000002
SingleRank,0.2091366087380118,0.14625304498946531,0.0,1.0,0.19272486772486772,0.2959920181420624,0.1493736578525979,0.0,1.0,0.3
